"","Ref. No.","Location","Name","Accession Number","event","value","DOY","year"
"3465",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",1993-04-10,100,1993
"3466",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2004-04-03,94,2004
"3467",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",1995-04-02,92,1995
"3468",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",1997-04-06,96,1997
"3469",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",1999-03-28,87,1999
"3470",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2000-04-05,96,2000
"3471",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2001-04-04,94,2001
"3472",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2002-04-14,104,2002
"3473",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2003-03-23,82,2003
"3474",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2004-03-24,84,2004
"3475",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2005-03-16,75,2005
"3476",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2006-03-22,81,2006
"3477",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2007-04-01,91,2007
"3478",6,"A5","M. campbellii subsp. mollicomata 'Borde Hill'","021433-0016-1984","First tepal drop",2008-04-06,97,2008
"3479",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2004-04-03,94,2004
"3480",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",1995-03-20,79,1995
"3481",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",1996-04-07,98,1996
"3482",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",1997-04-07,97,1997
"3483",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",1999-04-07,97,1999
"3484",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2000-04-05,96,2000
"3485",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2001-04-08,98,2001
"3486",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2002-04-10,100,2002
"3487",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2003-04-02,92,2003
"3488",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2004-03-24,84,2004
"3489",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2005-03-20,79,2005
"3490",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2006-03-26,85,2006
"3491",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2007-04-01,91,2007
"3492",7,"A6","M. campbellii subsp. mollicomata 'Lanarth'","024461-0562-1984","First tepal drop",2008-04-09,100,2008
"3493",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",1991-04-21,111,1991
"3494",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",1992-03-28,88,1992
"3495",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",1993-04-18,108,1993
"3496",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2004-04-10,101,2004
"3497",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",1995-04-05,95,1995
"3498",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",1997-04-20,110,1997
"3499",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",1998-04-01,91,1998
"3500",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",1999-04-18,108,1999
"3501",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2000-04-16,107,2000
"3502",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2001-04-25,115,2001
"3503",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2002-04-24,114,2002
"3504",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2003-04-09,99,2003
"3505",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2004-04-04,95,2004
"3506",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2005-03-27,86,2005
"3507",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2006-04-23,113,2006
"3508",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2007-04-11,101,2007
"3509",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2008-04-27,118,2008
"3510",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",2009-04-29,119,2009
"3511",73,"A2","M. cylindrica","021434-0021-1982","First tepal drop",1996-04-14,105,1996
"3512",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2001-04-29,119,2001
"3513",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2002-05-05,125,2002
"3514",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2003-04-30,120,2003
"3515",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2004-04-14,105,2004
"3516",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2005-04-23,113,2005
"3517",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2006-04-23,113,2006
"3518",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2007-04-22,112,2007
"3519",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2008-05-04,125,2008
"3520",76,NA,"M. cylindrica","029878-0469-1992","First tepal drop",2009-05-10,130,2009
"3521",12,"B1","M. dawsoniana",NA,"First tepal drop",1991-03-24,83,1991
"3522",12,"B1","M. dawsoniana",NA,"First tepal drop",1992-03-15,75,1992
"3523",12,"B1","M. dawsoniana",NA,"First tepal drop",1993-03-28,87,1993
"3524",12,"B1","M. dawsoniana",NA,"First tepal drop",2004-03-27,87,2004
"3525",12,"B1","M. dawsoniana",NA,"First tepal drop",1995-03-15,74,1995
"3526",12,"B1","M. dawsoniana",NA,"First tepal drop",1996-03-24,84,1996
"3527",12,"B1","M. dawsoniana",NA,"First tepal drop",1997-03-30,89,1997
"3528",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",1992-03-25,85,1992
"3529",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",1993-04-14,104,1993
"3530",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2004-04-06,97,2004
"3531",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",1996-04-07,98,1996
"3532",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",1997-04-13,103,1997
"3533",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",1998-03-29,88,1998
"3534",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",1999-04-07,97,1999
"3535",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2000-04-05,96,2000
"3536",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2001-04-04,94,2001
"3537",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2002-04-10,100,2002
"3538",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2003-03-30,89,2003
"3539",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2004-03-24,84,2004
"3540",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2005-03-13,72,2005
"3541",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2006-04-02,92,2006
"3542",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2007-04-08,98,2007
"3543",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2008-04-13,104,2008
"3544",54,"F7","M. dawsoniana 'Barbara Cook'","022602-5065-1981","First tepal drop",2009-04-22,112,2009
"3545",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",1991-04-14,104,1991
"3546",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",1992-03-25,85,1992
"3547",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",1993-04-10,100,1993
"3548",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2004-04-03,94,2004
"3549",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",1995-03-29,88,1995
"3550",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",1996-03-31,91,1996
"3551",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",1997-04-06,96,1997
"3552",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",1998-03-25,84,1998
"3553",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",1999-04-11,101,1999
"3554",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2000-04-09,100,2000
"3555",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2001-04-08,98,2001
"3556",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2003-04-06,96,2003
"3557",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2004-03-24,84,2004
"3558",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2005-03-13,72,2005
"3559",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2006-04-02,92,2006
"3560",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2007-04-01,91,2007
"3561",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2008-04-20,111,2008
"3562",16,"B4","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","016525-0317-1978","First tepal drop",2009-04-22,112,2009
"3563",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",1991-04-21,111,1991
"3564",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",1992-03-28,88,1992
"3565",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",1993-04-18,108,1993
"3566",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2004-04-03,94,2004
"3567",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",1996-04-07,98,1996
"3568",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",1997-04-20,110,1997
"3569",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",1998-03-29,88,1998
"3570",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",1999-04-18,108,1999
"3571",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2000-04-16,107,2000
"3572",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2001-04-08,98,2001
"3573",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2002-04-21,111,2002
"3574",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2003-04-06,96,2003
"3575",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2004-03-24,84,2004
"3576",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2005-03-20,79,2005
"3577",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2006-04-02,92,2006
"3578",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2007-04-01,91,2007
"3579",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2008-04-16,107,2008
"3580",63,"F3","M. dawsoniana 'Clark'","017990-0317-1979","First tepal drop",2009-04-22,112,2009
"3581",52,"E8","M. denudata","018821-0317-1980","First tepal drop",1991-04-21,111,1991
"3582",52,"E8","M. denudata","018821-0317-1980","First tepal drop",1992-03-22,82,1992
"3583",52,"E8","M. denudata","018821-0317-1980","First tepal drop",1993-04-18,108,1993
"3584",52,"E8","M. denudata","018821-0317-1980","First tepal drop",2004-04-06,97,2004
"3585",52,"E8","M. denudata","018821-0317-1980","First tepal drop",1995-04-09,99,1995
"3586",52,"E8","M. denudata","018821-0317-1980","First tepal drop",1996-04-10,101,1996
"3587",52,"E8","M. denudata","018821-0317-1980","First tepal drop",1997-04-20,110,1997
"3588",52,"E8","M. denudata","018821-0317-1980","First tepal drop",1998-03-29,88,1998
"3589",52,"E8","M. denudata","018821-0317-1980","First tepal drop",1999-04-18,108,1999
"3590",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2001-04-29,119,2001
"3591",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2002-05-12,132,2002
"3592",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2003-04-13,103,2003
"3593",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2004-04-11,102,2004
"3594",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2005-04-07,97,2005
"3595",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2006-04-23,113,2006
"3596",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2007-04-15,105,2007
"3597",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2008-05-07,128,2008
"3598",75,NA,"M. denudata 'Japanese Clone'","029725-0618-1992","First tepal drop",2009-05-06,126,2009
"3599",79,NA,"M. maudiae var. platypetala","033449-0539-1996","First tepal drop",2002-05-08,128,2002
"3600",79,NA,"M. maudiae var. platypetala","033449-0539-1996","First tepal drop",2008-05-25,146,2008
"3601",79,NA,"M. maudiae var. platypetala","033449-0539-1996","First tepal drop",2009-05-24,144,2009
"3602",74,"A2","M. officinalis biloba","015711-0328-1978","First tepal drop",2004-05-15,136,2004
"3603",74,"A2","M. officinalis biloba","015711-0328-1978","First tepal drop",1995-05-24,144,1995
"3604",74,"A2","M. officinalis biloba","015711-0328-1978","First tepal drop",1996-05-15,136,1996
"3605",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",1991-04-04,94,1991
"3606",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",1992-03-15,75,1992
"3607",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",1993-04-04,94,1993
"3608",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2004-03-23,83,2004
"3609",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",1995-03-22,81,1995
"3610",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",1996-03-24,84,1996
"3611",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",1997-03-30,89,1997
"3612",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",1998-03-22,81,1998
"3613",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",1999-03-28,87,1999
"3614",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2000-03-26,86,2000
"3615",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2001-03-21,80,2001
"3616",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2002-04-14,104,2002
"3617",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2003-03-16,75,2003
"3618",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2004-03-14,74,2004
"3619",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2005-03-09,68,2005
"3620",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2006-03-08,67,2006
"3621",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2007-03-21,80,2007
"3622",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2008-04-06,97,2008
"3623",3,"A5","M. sargentiana 'Blood Moon' on M. sprengeri","005230-0055-1986","First tepal drop",2009-04-01,91,2009
"3624",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",1995-04-05,95,1995
"3625",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",1996-04-10,101,1996
"3626",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",1997-04-16,106,1997
"3627",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",1999-04-14,104,1999
"3628",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2000-04-12,103,2000
"3629",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2001-04-18,108,2001
"3630",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2002-04-21,111,2002
"3631",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2003-03-30,89,2003
"3632",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2004-03-31,91,2004
"3633",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2005-03-27,86,2005
"3634",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2006-04-05,95,2006
"3635",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2007-04-01,91,2007
"3636",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2008-04-20,111,2008
"3637",66,"F2","M. sargentiana 'Chyverton Dark'","025075-5324-1986","First tepal drop",2009-04-26,116,2009
"3638",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First tepal drop",1991-03-27,86,1991
"3639",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First tepal drop",1992-03-22,82,1992
"3640",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First tepal drop",1993-03-28,87,1993
"3641",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First tepal drop",2004-04-03,94,2004
"3642",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First tepal drop",1995-03-15,74,1995
"3643",13,"B1","M. sargentiana (ex. var. robusta)","021438-0405-1982","First tepal drop",1996-03-20,80,1996
"3644",36,"D2","M. sargentiana (ex. var. robusta)","022111-0055-1982","First tepal drop",2008-03-26,86,2008
"3645",36,"D2","M. sargentiana (ex. var. robusta)","022111-0055-1982","First tepal drop",2009-04-11,101,2009
"3646",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",1991-04-04,94,1991
"3647",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",1992-03-15,75,1992
"3648",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",1993-03-31,90,1993
"3649",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2004-03-23,83,2004
"3650",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",1995-03-22,81,1995
"3651",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",1996-03-27,87,1996
"3652",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",1997-03-30,89,1997
"3653",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",1998-03-18,77,1998
"3654",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",1999-03-31,90,1999
"3655",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2000-04-05,96,2000
"3656",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2001-03-25,84,2001
"3657",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2002-04-10,100,2002
"3658",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2003-03-16,75,2003
"3659",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2004-03-21,81,2004
"3660",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2005-03-13,72,2005
"3661",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2006-04-02,92,2006
"3662",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2008-04-09,100,2008
"3663",14,"C7","M. sargentiana (ex. var. robusta)","026294-0328-1988","First tepal drop",2009-04-15,105,2009
"3664",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",1991-04-04,94,1991
"3665",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",1992-03-18,78,1992
"3666",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",1993-04-04,94,1993
"3667",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2004-03-27,87,2004
"3668",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",1995-03-19,78,1995
"3669",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",1996-03-31,91,1996
"3670",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",1997-03-30,89,1997
"3671",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",1999-03-28,87,1999
"3672",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2000-04-02,93,2000
"3673",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2001-03-21,80,2001
"3674",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2002-04-10,100,2002
"3675",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2003-03-16,75,2003
"3676",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2004-03-28,88,2004
"3677",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2005-03-09,68,2005
"3678",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2006-03-22,81,2006
"3679",38,"D2","M. sargentiana (pale flower selection ex. 'Alba')","022600-0016-1984","First tepal drop",2007-04-08,98,2007
"3680",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",1991-04-21,111,1991
"3681",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",1992-03-22,82,1992
"3682",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",1993-04-10,100,1993
"3683",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2004-04-03,94,2004
"3684",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",1995-03-22,81,1995
"3685",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",1996-03-31,91,1996
"3686",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",1997-04-13,103,1997
"3687",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",1998-03-25,84,1998
"3688",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",1999-04-18,108,1999
"3689",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2000-04-05,96,2000
"3690",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2001-04-04,94,2001
"3691",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2002-04-10,100,2002
"3692",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2003-03-30,89,2003
"3693",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2004-03-14,74,2004
"3694",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2005-03-09,68,2005
"3695",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2006-03-22,81,2006
"3696",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2007-04-01,91,2007
"3697",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2008-04-19,110,2008
"3698",22,"D8","M. sprengeri","018822-0317-1980","First tepal drop",2009-04-15,105,2009
"3699",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",1991-04-14,104,1991
"3700",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",1992-03-18,78,1992
"3701",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",1993-04-10,100,1993
"3702",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2004-04-03,94,2004
"3703",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",1995-03-22,81,1995
"3704",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",1996-03-27,87,1996
"3705",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",1997-04-20,110,1997
"3706",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",1998-03-22,81,1998
"3707",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",1999-04-18,108,1999
"3708",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2000-04-09,100,2000
"3709",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2001-04-11,101,2001
"3710",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2002-04-14,104,2002
"3711",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2003-04-06,96,2003
"3712",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2004-03-28,88,2004
"3713",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2005-03-20,79,2005
"3714",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2006-04-05,95,2006
"3715",34,"D2","M. sprengeri 'Claret Cup'","021440-0021-1982","First tepal drop",2007-04-08,98,2007
